ds,yhat,yhat_lower,yhat_upper
2015-01-13,2380.967471702893,-2910.412632141054,8210.458356110688
2015-01-14,1937.5648072064382,-3445.586811343401,7816.538534326938
2015-01-15,2473.7759696224616,-3468.8090799412967,7906.274733466071
2015-01-16,1553.8982506503564,-3965.1188076562175,7432.069409283511
2015-01-18,1984.970029172483,-3501.5491656503564,7032.6504614447795
2015-01-19,2055.4944953429645,-3258.1720809245776,7698.425840408915
2015-01-20,3013.5173859980523,-2507.526998148854,8299.17747538057
2015-01-21,2440.496051259357,-3075.271171166642,8076.822425834086
2015-01-22,2837.1271848324977,-2515.2490446443458,8364.473592969765
2015-01-24,2390.7365656978327,-3205.5503131330684,8143.444343034853
2015-01-25,1898.4316580944246,-3745.4778898357467,7275.722090055204
2015-01-26,1818.6888847163282,-3805.3660346322763,7232.466802817824
2015-01-27,2631.381831633739,-2677.084497248472,8038.622821183302
2015-01-29,2190.76701596941,-3297.9951968883324,7710.6525016259875
2015-01-30,1010.5859400482431,-4868.456704851193,6749.004639580507
2015-01-31,1532.7761634853111,-4011.6848086473688,7346.612266729529
2015-02-13,-453.34174670321136,-5833.183477153753,5312.674083556752
2015-02-15,-145.3917568567989,-5570.571861353515,5613.44508268877
2015-02-16,-81.86528355140524,-6049.675109439499,5420.444001859777
2015-02-17,904.6101726528178,-4910.217693750397,6688.64449795599
2015-02-19,884.2001156912582,-4239.522445575944,6615.664706080049
2015-02-23,487.17881322054484,-5049.257422216886,5924.426183662194
2015-02-24,1495.8144901523117,-4033.9342497751213,7676.610845963398
2015-02-26,1462.4700501134942,-4043.0725021436356,7213.795295851821
2015-02-28,1199.8019114336023,-4263.502407744581,6811.49248902234
2015-03-13,-225.52614985720584,-5685.147204386614,5190.854935519773
2015-03-14,350.68671661666303,-5798.289214927235,5994.192619588864
2015-03-15,-159.3380198325865,-5857.5093981946575,5383.415484151037
2015-03-16,-229.66213519268308,-5486.542244110651,5100.824172683788
2015-03-17,619.7979319799113,-5018.298178063473,6521.835954963456
2015-03-18,-26.986215032422024,-5534.0901720280945,5229.950960599623
2015-03-19,332.388055760899,-4989.682599613473,6396.297996441693
2015-03-20,-734.143869397821,-6174.6369631773005,4607.485405527338
2015-03-23,-466.3492269613798,-5681.590820289307,5155.983041999714
2015-03-24,486.67007265973507,-5011.839341630386,6180.235462336668
2015-03-25,-54.94999490064595,-5567.8128367705785,5141.263142930437
2015-03-29,-145.96237019273724,-5836.804260080093,5505.033806384197
2015-04-13,199.84366673731694,-5313.26131182634,5681.026886629858
2015-04-14,1043.0131475927124,-4549.844446414262,6889.5459348657805
2015-04-18,126.33377765732865,-5402.678477732063,6049.5858866447825
2015-04-23,81.60641262841068,-5720.766921900879,5865.653644782621
2015-04-24,-989.8654626399143,-6356.247130404458,4483.54887956369
2015-04-26,-752.1254007026871,-6447.825834305466,4966.972684547442
2015-04-28,246.01250687538993,-4935.062235963177,5737.211525049629
2015-05-13,1380.6770936705552,-4075.571590059274,7067.617608153043
